Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1730.8746509892464
FDW14,OUT017,1390.0225745312084
NCN55,OUT010,588.1650458278544
FDQ58,OUT017,2477.2696898887316
FDY38,OUT027,5856.817805776747
FDH56,OUT046,1994.2799945810832
FDL48,OUT018,641.4626421402148
FDC48,OUT027,2222.430036794271
FDN33,OUT045,1541.5144701251752
FDA36,OUT017,3179.432792342649
FDT44,OUT017,1959.5884324531514
FDQ56,OUT045,1418.4480034468177
NCC54,OUT019,560.7130179677599
FDU11,OUT049,2033.0625263816473
DRL59,OUT013,741.6188573306526
FDM24,OUT049,2443.8615563710187
FDI57,OUT045,2920.236344296203
DRC12,OUT018,2882.3629408516153
NCM42,OUT027,2889.1312769574147
FDA46,OUT010,479.77768999666773
FDA31,OUT013,2837.6555060202854
NCJ31,OUT035,4030.8910394514623
FDG52,OUT046,761.8503343357478
NCL19,OUT019,334.75414278386694
FDS10,OUT035,3051.0122749141856
FDX22,OUT010,540.1784463228491
NCF19,OUT035,745.7466082114667
NCE06,OUT046,2602.4396736899985
DRC27,OUT046,3785.1149487723633
FDE21,OUT035,1938.5574968744352
NCR42,OUT019,112.51144391599387
FDX51,OUT018,2842.282079303739
NCR06,OUT018,523.7749697606573
FDU31,OUT027,5714.820487919928
FDU59,OUT017,2554.2339845266974
FDR03,OUT027,5413.0743723692685
FDS49,OUT027,2243.4411301771465
FDD48,OUT010,250.36257646753202
NCF18,OUT017,3169.570155903656
NCD43,OUT027,2717.004714387717
NCD54,OUT018,1999.3038492475785
FDY19,OUT010,254.28009019470588
NCY54,OUT017,2909.7270381322146
NCL19,OUT018,2019.9100333314973
FDP23,OUT010,550.5686317744444
FDC26,OUT013,1833.3778579839743
FDR14,OUT010,154.54965775835834
NCS41,OUT035,3107.97518020306
FDF41,OUT035,4169.373444460642
FDU34,OUT046,2109.8901640213303
DRH11,OUT046,914.2838985427184
FDM03,OUT013,1725.4267822087659
FDS31,OUT017,3071.7965341241306
FDJ20,OUT017,2083.995929877419
